location,total_stops,avg_dwell_hours,median_dwell_hours,pct_delayed,currently_stuck,category
Majhdia,1,298.8,298.84277777777777,100.0,0,Ignore
"Jawali, Jawali, HIMACHAL PRADESH",1,298.7,298.6847222222222,100.0,0,Ignore
MIRYALAGUDA,1,297.9,297.9263888888889,100.0,0,Ignore
CHAVAKKAD,1,297.0,296.9869444444444,100.0,0,Ignore
"DEL/EDL-EHV, Delhi NCR, DELHI",52,296.1,329.13111111111107,98.1,0,Prioritize for Clearing
"ROBERTSGANJ, Robertsganj, UTTAR PRADESH",4,295.9,325.7461111111111,100.0,0,Ignore
"BOM/KND-TML, Mumbai, MAHARASHTRA",27,295.6,347.3463888888889,88.9,1,Prioritize for Clearing
"Manjari, MANJARI, MAHARASHTRA",4,295.6,372.1977777777778,100.0,0,Ignore
"Bhind, BHIND, MADHYA PRADESH",2,294.8,294.7620833333333,100.0,0,Ignore
SAKLESHPUR,2,293.3,293.275,100.0,0,Ignore
"Sunam, SUNAM, PUNJAB",2,293.3,293.285,100.0,0,Ignore
SOLUR,3,292.2,277.05,100.0,0,Ignore
KOPARGAON,3,291.7,299.35,100.0,0,Ignore
ACHIRAPAKKAM,2,291.7,291.65833333333336,100.0,0,Ignore
"ArmoriMH, Armori, MAHARASHTRA",2,291.6,291.6376388888889,100.0,0,Ignore
GUNTAKAL,5,291.5,329.48333333333335,100.0,0,Prioritize for Clearing
"Sirsi1, Sirsi, KARNATAKA",2,290.8,290.78222222222223,100.0,0,Ignore
"Wanaparthy, Wanaparthy, TELANGANA",2,290.2,290.2479166666667,100.0,0,Ignore
"Natrampalli, Natrampalli, TAMIL NADU",3,289.3,327.7655555555556,100.0,0,Ignore
HINDUPUR,4,288.9,319.01666666666665,100.0,0,Ignore
VISNAGAR,2,287.9,287.9276388888889,100.0,0,Ignore
"Ratnagiri1, Ratnagiri, MAHARASHTRA",8,287.8,330.0755555555555,100.0,0,Prioritize for Clearing
"TalegaonDhige, TALEGAON DHIGE, MAHARASHTRA",3,287.4,326.3802777777778,100.0,0,Ignore
"Jahu, Jahu, HIMACHAL PRADESH",3,286.3,279.8911111111111,100.0,0,Ignore
"Nellore, Nellore, ANDHRA PRADESH",4,285.9,290.8469444444445,100.0,0,Ignore
SONEPUR,2,284.4,284.3833333333333,100.0,0,Ignore
